name,date_iso,amount_usd_millions,round,category,category_group,sector,lead_investors,other_investors,source,valuation_usd_millions,chains,defillama_id
Hackless,2023-12-12,1.2,Private,Smart contract security,,Blockchain security platform,,"DAO Maker, BlackDragon, DeltaHub Capital, Insignius Capital, Viral Ventures, Halving Capital",https://x.com/hackless_defi/status/1734604150963679422,,,
DoraHacks,2021-05-18,20.0,Series B-1,,,Hackathon organizer,"FTX Ventures, Liberty City Ventures","Circle Ventures, Gemini Frontier Fund, Sky9 Capital, Crypto.com, Amber Group",https://twitter.com/DoraHacks/status/1526915913487831042?s=20,,,
XION,2024-04-01,25.0,Series A,L1,Base Layers & Scaling,L1 purpose built for mainstream adoption through Generalized Abstraction,,"Animoca Brands, Laser Digital, Multicoin Capital, Draper Dragon, Arrington Capital, Sfermion, GoldenTree, Mechanism Capital, The Spartan Group, Morningstar Ventures, KuCoin Ventures, Stateless Ventures, Selini Capital, Innovating Capital, Anti Capital, Hextrust, MH Ventures",https://x.com/burnt_xion/status/1774791414838104310,,,chain#xion
Torus,2019-07-10,2.0,,Infrastructure,Web3 Infrastructure & Tools,frictionless gateway to the Defi ecosystem,Multicoin Capital,"Binance Labs, Coinbase Ventures, Accomplice, Sixth Horizon, Terminal Argonautic Ventures",https://medium.com/toruslabs/torus-secures-2m-to-build-the-frictionless-gateway-to-the-decentralized-ecosystem-15eb63436731,,,
Bitmark,2019-09-03,3.0,Series A,,,Bitmark is an end-to-end Internet protocol that secures data provenance.,HTC,"Alibaba Group, DCG, WI Harper Group",https://aithority.com/technology/cryptocurrency/bitmark-closes-3-million-series-a-led-by-htc/,,,
Interlay,2021-12-21,6.5,,Infrastructure,Web3 Infrastructure & Tools,"Interlay enables you to invest, earn and pay with BTC on any blockchain via a decentralized open-source protocol.",,"D1 Ventures, Digital Finance Group, Hypersphere Ventures, IOSG Ventures, KR1, Nexo, Signum Capital",,,Polkadot,2033
Swivel Finance,2020-12-10,1.15,Seed,DeFi,DeFi & CeFi,Swivel Finance is a decentralized protocol for fixed-rate lending and interest-rate derivatives.,,"Alexander Pack, Ash Egan, CMS Holdings, DeFiance Capital, Divergence Ventures, Electric Capital, Imran Khan, Multicoin Capital, Qiao Wang, Stani Kulechov",,,Ethereum,2055
OneKey,2023-02-23,,Series A+,Infrastructure,Web3 Infrastructure & Tools,Wallet,IOSG Ventures,,https://twitter.com/OneKeyHQ/status/1628650748153311233?s=20,85.0,,
Bitpanda,2021-03-16,170.0,Series B,CeFi,DeFi & CeFi,CeFi Investment Platform,Valar Ventures,DST,https://www.coindesk.com/business/2021/03/16/crypto-has-another-unicorn-as-bitpanda-raises-170m-at-12b-valuation/,1200.0,,
Dfns,2025-01-14,16.0,Series A,Wallet,,A leading Wallets-as-a-Service (WaaS) platform for digital assets,Further Ventures,"Motier Ventures, Wintermute Ventures, Motive Partners, White Star Capital, BPI France, Hashed, Semantic, Techstars",https://x.com/dfnsHQ/status/1879173512750928058,,,
Unstoppable DeFi,2023-04-03,3.9,Public token sale,DeFi,DeFi & CeFi,360 DEX spot/futures/custom orders/leverage/Single-Side LP,,,https://twitter.com/UnstoppableFi/status/1643006808229830657?s=20,19.5,Arbitrum,
BlockSpaces,2025-05-28,2.0,Strategic,Infrastructure,Web3 Infrastructure & Tools,BlockSpaces is a Bitcoin-native financial infrastructure platform that enables institutions to utilize Bitcoin as programmable collateral,Axiom,"Leadout Capital, Sand Harbor Capital",https://www.prnewswire.com/news-releases/blockspaces-secures-2m-to-launch-bitcoin-native-collateral-and-risk-management-platform-302466962.html,,Bitcoin,
Irreducible,2025-01-30,24.0,Series A,Zero Knowledge Industry,,"Irreducible accelerates zero-knowledge proof generation by operating FPGA clusters tailored for cryptographic computations, supporting blockchain protocols","Paradigm, Bain Capital Crypto","Fenbushi Capital, L2 Iterative Ventures, Robot Ventures",https://x.com/IrreducibleHW/status/1885007516670578872,,,
Nexus Mutual,2021-02-16,2.7,,DeFi,DeFi & CeFi,Nexus Mutual uses the power of blockchain technology and Ethereum to allow people from all over the world.,,"1Confirmation, Blockchain Capital, Collider Ventures, Dialectic, Placeholder, Version One Ventures, Accomplice",,,Ethereum,122
CoinRoutes,2019-10-22,3.0,,Trading,DeFi & CeFi,CoinRoutes is a crypto trading software provider.,,Bitcoin Suisse AG,,,,
Utila,2025-03-19,18.0,Series A,Wallet,,Enabling organizations to securely manage & build on digital assets,Nyca Partners,"Gaingels, Wing Venture Capital, NFX, Haymaker Ventures, Cerca Partners",https://x.com/utila_io/status/1902342852983627915,,,
ACM+,2025-07-18,12.0,Seed,Infrastructure,Web3 Infrastructure & Tools,"AI Cross Matrix (ACM) is a privacy-centric financial protocol enabling decentralized, cross-chain, and untraceable asset transfers",,"Asva Capital, Genesis Capital, BuzzBridge Capital, Avalon Wealth Club, M2M Capital",https://x.com/ACM_Plus/status/1946145185806872948,,,
Convergence.Tech,2021-07-13,1.98,Grant,,,Convergence.Tech is a digital transformation company.,Business.gov.au,,,,,
Vixchain,2024-10-25,7.0,,L1,Base Layers & Scaling,,,,https://x.com/Vixichain/status/1849786646859788348,,,
ShipChain,2018-01-08,30.0,,L1,Base Layers & Scaling,Blockchain-powered logistics and freight platform,,,,,,
Connext,2018-01-06,0.88,Convertible note issuance,Infrastructure,Web3 Infrastructure & Tools,"Connext is an interoperability protocol that enables fast, fully-trustless communication between blockchains.",,"Hashed, Kenetic, KR1, Monta Vista Capital",,,"Gnosis, Ethereum, Optimism, Fantom, Arbitrum, Cronos, Moonriver, BSC, Avalanche, Fuse, Moonbeam, Evmos, Polygon, Boba, Milkomeda C1, Harmony",217
Cloudburst,2023-05-08,,Seed,,,Cryptofraud intelligence solutions,Strategic Cyber Ventures,"Coinbase Ventures, Bloccelerate",https://twitter.com/trycloudburst/status/1655567587684544512?s=20,,,
Predicate,2024-10-15,7.0,,Infrastructure,Web3 Infrastructure & Tools,Define rules for onchain interactions,"1kx, Figment, Tribe Capital","Reciprocal Ventures, HashKey Capital, White Star Capital, Very Early Ventures, Cyber Fund, GSR, Department of XYZ, ConsenSys Ventures, Everstake Capital, NEAR Foundation",https://x.com/0xPredicate/status/1846206666695491994,,,
Magpie Protocol,2025-03-27,1.6,Public token sale,DeFi,DeFi & CeFi,"Trading any tokens between any chains - without the need to bridge, is what makes Magpie your efficient app to navigate DeFi.",,,https://x.com/magpieprotocol/status/1905226016596857297,,"Ethereum, Arbitrum, Base, Polygon, Avalanche, Optimism",4457
Entropy,2022-01-12,1.95,Preseed,DeFi,DeFi & CeFi,Custodian,Dragonfly Capital,"The Lao, P2P Capital",https://twitter.com/entropydotxyz/status/1481327929367875589?s=20,,,
Crunch DAO,2021-12-01,1.0,Pre-Seed,DAO infrastructure,,Crunch DAO leverages the power of collective intelligence of Web 3.0 to create a next-generation market neutral hedge.,,,,,,
WEWAY,2017-03-20,3.619,Series A,,,WEWAY is a blockchain and encryption communication technology company.,,"Allwinner Technology, Guangdong Technology Financial Group, Shenzhen Capital Group",,,,
Whetstone Research,2025-02-11,1.3,Pre-Seed,DeFi,DeFi & CeFi,building the future of onchain markets,,"Variant Fund, Nascent, Credibly Neutral, Uniswap Labs Ventures, Ambush, Figment Capital",https://paragraph.xyz/@whetstone/doppler-is-the-future-of-onchain-markets,,,
Republic,2018-06-08,12.0,,,,"Republic curates private investing opportunities with high-growth potential across startups, gaming, real estate, and crypto.",,"Binance Labs, East Chain Co., FBG Capital, HOF Capital, Oyster Ventures, UpVentures Capital, ZhenFund",,,,
Tinyman,2021-10-07,2.5,Seed,DeFi,DeFi & CeFi,Tinyman is an automated market maker (AMM) on the Algorand blockchain.,,"Arrington XRP Capital, BlockTower Capital, Borderless Capital, DCG, Eterna Capital, GoldenTree Asset Management, Kosmos Ventures, Polymorphic Capital, The Lao",,,Algorand,680
Modular Cloud,2023-02-15,1.7,Pre-Seed,,,"Building Explorer, a block explorer for modular blockchains","Maven 11, Blockchain Capital","NFX, Celestia Foundation, Eclipse",https://twitter.com/Maven11Capital/status/1625918153338531841,,,
Prosper,2024-11-06,,,DeFi,DeFi & CeFi,Prosper is bridging institutional-grade Bitcoin mining power on-chain and aiming to fully unlock the potential of the most decentralized cryptocurrency,Waterdrip Capital,,https://x.com/prosperfi_xyz/status/1854063129690603811,,,
Bitfury Group,2017-01-25,30.0,,,,Bitfury is the leading full service bitcoin and blockchain technology company.,Credit China FinTech Holdings,,,,,
Valantis,2024-11-20,7.5,Pre-Seed & Seed,DeFi,DeFi & CeFi,Building the Modular Exchange Protocol,"SevenX Ventures, Cyber Fund, Kraken Ventures","Nethermind, Figment Capital, Semantic Ventures, Robot Ventures, Delphi Digital, Credibly Neutral, Very Early Ventures, Monoceros Ventures",https://x.com/ValantisLabs/status/1859285814821388325,,,
Pixura,2020-09-22,1.4,,NFT,"NFT, Gaming & Metaverse","Pixura is a platform for creating, tracking, and exchanging crypto collectibles.",,,,,,
Aztec Protocol,2018-11-29,2.1,Seed,DeFi,DeFi & CeFi,Aztec develops an ethereum trading protocol that enables private transactions across the public blockchain.,,"A.Capital Ventures, Charlie Songhurst, ConsenSys, Entrepreneur First, Samos Investments, Jeffrey Tarrant",,,,
Noble,2024-11-19,15.0,Series A,L1,Base Layers & Scaling,an asset issuance appchain,Paradigm,"Polychain Capital, Foresight Ventures, Wintermute Ventures, Informal Systems",https://fortune.com/crypto/2024/11/19/stablecoin-company-noble-raises-15-million-in-series-a-from-paradigm/,,Cosmos,chain#noble
Symbiotic,2024-06-11,5.8,Seed,Liquid Restaking Protocol,,Permissionless restaking,"Paradigm, Cyber Fund",,https://x.com/symbioticfi/status/1800530056500117824,,Ethereum,4757
BNB Chain,2024-11-12,10.0,,L1,Base Layers & Scaling,BNB Chain is a blockchain ecosystem focused on building Web3 applications,Google Cloud,,https://x.com/BNBCHAIN/status/1856336252854837252,,BSC,chain#bsc
Lore,2023-04-06,4.0,Strategic,NFT,"NFT, Gaming & Metaverse",Web3 Co-Ownership Platform,Multicoin Capital,"Seed Club Ventures, North Island Ventures, Balaji Srinivasan, Zeneca, Mischief Ventures, Sfermion, CMT Digital, Patricio Worthalter, Spice Capital, Sublime Venture",https://twitter.com/CoinDesk/status/1644011251238838280,,"Polygon, Solana, Ethereum",
Sherlock,2022-09-14,4.0,Seed,Smart contract audits,,SC auditing,Archetype,"The Spartan Group, Lattice Capital, CoinFund",https://twitter.com/sherlockdefi/status/1570038234389925894,,Ethereum,604
DMG Blockchain Solutions,2021-05-03,79.89,Post-IPO Equity,,,DMG Blockchain Solutions is a full service diversified blockchain and cryptocurrency company.,,,,,,
Anchorage Digital,2019-01-23,17.0,Series A,CeFi,DeFi & CeFi,crypto platform for institutions,,,,,,
Ngrave,2022-12-02,15.0,Series A,,,Crypto hardware wallet,,,https://twitter.com/TheBlock__/status/1598715814928162817,60.0,,
SEBA Bank,2018-09-27,104.0,,CeFi,DeFi & CeFi,"SEBA Bank is a cryptocurrency company that provides a seamless, secure, and easy-to-use bridge between digital and traditional assets.",Black River Asset Management,,,,,
Story Protocol,2024-08-21,79.4,Series B,L1,Base Layers & Scaling,intellectual property-focused blockchain Story Protocol,a16z crypto,"Polychain Capital, Scott Trowbridge, Adrian Cheng, Cozomo de’ Medici",https://x.com/DLNewsInfo/status/1826228095424094247,,,chain#story
Nova Labs,2014-12-10,16.0,Series A,Infrastructure,Web3 Infrastructure & Tools,Helium Network,Khosla Ventures,"FirstMark Capital, Digital Garage, Marc Benioff, SV Angel, Slow Ventures",https://techcrunch.com/2014/12/09/helium/?ncid=rss,,Helium,
Breakout,2024-07-31,4.5,Seed,Trading,DeFi & CeFi,Crypto proprietary trading firm,RockawayX,"Mechanism Capital, Round13 Capital, C² Ventures, IOBC Capital",https://x.com/TheBlock__/status/1818662949453525368,,,
SEBA Bank,2020-12-22,22.53,Series B,CeFi,DeFi & CeFi,"SEBA Bank is a cryptocurrency company that provides a seamless, secure, and easy-to-use bridge between digital and traditional assets.",,,,,,
Aki Network,2023-05-16,,Seed,,,web3 growth stack to track real promotion performances of crypto influencers with on-chain data-driven products,"Emoote, Mask Network","MZ Web3 Fund, Incuba Alpha, Meteorite Labs, CatcherVC, Futurism Labs, Oxbull",https://twitter.com/fundinglist/status/1658522038137389059,40.0,,
Cake DeFi,2019-06-01,2.4,Seed,DeFi,DeFi & CeFi,Generate cashflow out of crypto assets by bringing decentralised finance to the people.,,"Howard Fineman, John Rost, Julian Hosp, U-Zyn Chua",https://www.crunchbase.com/organization/cake-defi/company_financials,,,
Raiinmaker,2024-04-03,7.5,Seed,AI,"AI, Analytics & Data",decentralized AI tools and web3 infrastructure,"Jump Capital, Cypher Capital","Gate Labs, MEXC Global, Krypital Group, Alphabit Fund, Launchpool, New Tribe Capital, Axia8 Ventures, Sheesha Finance, Andromeda Capital, Arcanum Capital, GDA Capital, Alpha Sigma Capital",https://x.com/TheBlock__/status/1775523922382905797,,,
Gevulot,2024-01-29,6.0,Seed,Zero Knowledge Industry,,internet scale compute network for zero-knowledge proof generation and verification,Variant,"RockawayX, Volt Capital, Staking Facilities",https://x.com/gevulot_network/status/1751982311652893068,,,
AfricaDAO,2022-08-11,20.0,,,,Investment fund,BitDAO,,https://twitter.com/africadaoworld/status/1557349985905172481,,,
Oneiro,2019-10-02,5.0,Series A,,,Global provider of high-performance blockchain solutions including ndau - the world's first adaptive digital currency.,,COSIMO Ventures,,,,
DrumG Technologies,2018-08-24,6.5,Series A,,,Building and operating next generation enterprise distributed-ledger based applications for the global financial services industry,Consensys,,,,,
Panther Protocol,2021-04-13,3.0,Seed,DeFi,DeFi & CeFi,Panther Protocol is an interoperable privacy solution focused on the needs of decentralized finance traders and investors.,Kosmos Ventures,,,,,
Horizon Blockchain Games,2022-10-04,40.0,Series A,Gaming,"NFT, Gaming & Metaverse",Gaming Studio,"Morgan Creek Digital, Brevan Howard Digital","Ubisoft Entertainment SA, Take-Two Interactive Software",https://twitter.com/0xHorizon/status/1577284097806041088,,,
Animoca Brands,2018-05-10,0.56,Grant,Gaming,"NFT, Gaming & Metaverse",Animoca Brands focuses on driving digital property rights via NFTs and gaming to help build the open metaverse.,Hongkong Innovation and Technology Fund,,,,,
TeraWulf,2021-12-02,76.5,Private Equity,Mining,Web3 Infrastructure & Tools,TeraWulf is a bitcoin mining company that produces zero-carbon energy for crypto mining.,,,https://www.coindesk.com/business/2021/12/03/bitcoin-miner-terawulf-raises-200m-in-debt-and-equity/,,,
Animoca Brands,2017-03-13,5.2,Post-IPO Equity,Gaming,"NFT, Gaming & Metaverse",Animoca Brands focuses on driving digital property rights via NFTs and gaming to help build the open metaverse.,,,,,,
Algorand,2018-02-15,4.0,Seed,L1,Base Layers & Scaling,L1,"Pillar VC, USV",,https://www.coindesk.com/markets/2018/02/15/mit-professor-raises-4-million-to-build-a-better-blockchain/,,Algorand,chain#algorand
Moola Market,2021-03-01,1.4,Seed,DeFi,DeFi & CeFi,Defi Lending,,"Polychain Capital, Flori Ventures",https://moolamarket.medium.com/moola-raises-1-4m-seed-round-d7725601789a,,Celo,489
T.Q Financial,2018-08-01,1.47,Series A,,,T.Q Financial is a RMB digital circulation and supervision service provider company.,Shenzhen Capital Group,,,,,
Synthr,2025-01-14,10.0,,DeFi,DeFi & CeFi,Advanced cross-chain infrastructure - Built on Axelar and LayerZero_Core,,"Kronos Research, NGC Ventures, Morningstar Ventures",https://x.com/synthr_io/status/1879084416729002138,,,
Lagrange,2023-05-18,4.0,Pre-Seed,Infrastructure,Web3 Infrastructure & Tools,,1kx,"Maven 11, Lattice Fund, CMT Digital, Daedalus Angels","Generalizable, non-interactive cross-chain state proofs",,,
Moongate,2024-11-28,2.5,Token Pre-Sale,NFT,"NFT, Gaming & Metaverse",Attention Asset Protocol for Real-world Activations - Transforming the value exchange between consumers and brands,,"CMCC Global, Coingecko Ventures, Cogitent Ventures, Token Bay Capital, Penrose Tech, Matterblock, RNR Capital, PHD Capital, Ape Terminal, Decubate, ChainGPT, Ivan on Tech, Mario Nawfal",https://x.com/Moongate/status/1862050519281488307,,,
Neptune Protocol,2024-12-10,3.9,Seed,DeFi,DeFi & CeFi,"Neptune Protocol is a decentralized borrowing platform native to the Eclipse ecosystem, powered by the Solana Virtual Machine (SVM)",,"Animoca Brands, CMS Holdings, Maelstrom, Infinity Ventures Crypto, Builder Capital, Bloccelerate, Wise3 Ventures, RockTree Capital, Veil, Stake Capital, Optic Capital, Relayer Capital, WAGMI Ventures, NxGen, Zephyrus Capital, Cogitent Ventures, Global Coin Research, Revelo Intel, MH Ventures, Meltem Demirors",https://x.com/Neptune_Stable/status/1866487539819061365,,Eclipse,
Witnet,2018-08-16,3.0,,Infrastructure,Web3 Infrastructure & Tools,"Witnet is an open source project originally devised by Stampery, the leaders of blockchain-powered data certification.",,"CoinFund, Oyster Ventures, Reflective Venture Partners",,,,
Ardana,2021-10-28,1.5,ICO,DeFi,DeFi & CeFi,Ardana is a decentralized stablecoin and DEX liquidity pool built on Cardano,,,,,Cardano,
Cookbook,2023-05-11,,,,,smartcontract registry platform for web3 developers,,"MaC Venture Capital, Tagus Capital, Superscrypt, Alchemy Ventures",https://twitter.com/CoinDesk/status/1656708754275024914,,,
Juno,2022-05-27,10.0,Series A,,,,,,https://twitter.com/junoliveconnect/status/1529839776265912320,,,
Alt Lending,2018-04-30,1.01,,,,Alt Lending is Institutional Blockchain Lending Solutions,,,,,,
Skynet Labs,2014-08-15,0.35,Seed,,,Skynet is an open protocol for hosting data and web applications on the decentralized web.,Raptor Group,,,,,
Minespider,2020-04-16,3.04,,L1,Base Layers & Scaling,Minespider is a public-permissioned blockchain for supply chain due diligence.,H2020-SME-Instrument program,,,,,
RSK Labs,2016-01-14,0.35,Seed,L1,Base Layers & Scaling,RSK is the first open-source smart contract platform,,Cameron Parry,,,RSK,
Bunzz,2023-01-26,4.5,Seed,Infrastructure,Web3 Infrastructure & Tools,DApp integrated development environment,,"gjmp, DG Daiwa Ventures, Coincheck, Ceres",https://twitter.com/BunzzDev/status/1618628630816632833,,"Ethereum, Polygon, Avalanche, BSC, Arbitrum, Astar",
ODOS,2024-08-30,,Series A,DeFi,DeFi & CeFi,Dex Aggregator,,"CE Innovation Capital, Uniswap Labs Ventures, Curved Ventures, Orbs, Mantle Ecosystem Fund, PAKA",https://x.com/odosprotocol/status/1829567769131770055,,"Arbitrum, Ethereum, Optimism, Polygon, Fantom, zkSync, Mantle, Base, Mode, Linea, Scroll, BSC",3951
Compute North,2021-02-11,25.0,Debt Financing,Mining,Web3 Infrastructure & Tools,Compute North delivers high-performance cryptocurrency mining and infrastructure solutions to customers.,Post Road Group,,,,,
Florence Finance,2022-09-05,3.0,Seed,DeFi,DeFi & CeFi,RWA Lending Platform,,"Big Brain Holdings, Bixin Ventures, AscendEX, CoinIX Capital, Focus Labs, Lunatic Capital, Nothing Research, Newform Capital, Fox Ventures",https://twitter.com/FinanceFlorence/status/1566769654562971648,20.0,Ethereum,
Bitturk,2021-12-14,2.0,Corporate Round,Centralized Exchange,DeFi & CeFi,"Bitturk allows users to buy, sell, deposit, and withdraw cryptocurrencies.",Basarsoft,,,,,
Icebreaker,2024-07-31,5.0,Seed,Web3,,Open-source professional network,CoinFund,"Accomplice, Anagram, Legion Capital",https://x.com/TheBlock__/status/1818625181276909981,,,
Skip,2022-09-22,6.5,Seed,Infrastructure,Web3 Infrastructure & Tools,MEV Infrastructure,Bain Capital Crypto,"Galaxy Digital, Robot Ventures, Jump Crypto",https://twitter.com/SkipProtocol/status/1572967046518046721,,Cosmos,
web3mine,2023-12-20,6.0,Seed,Infrastructure,Web3 Infrastructure & Tools,Web3 infrastructure,1kx,Protocol Labs,https://x.com/web3mine/status/1737528067365462217,,,
Chainalysis,2022-05-11,170.0,Series F,Analytics,"AI, Analytics & Data",Blockchain analysis,GIC,"Accel, Blackstone, Dragoneer, BNY Mellon",https://twitter.com/tier10k/status/1524173644313862145,8600.0,,
Artie,2021-10-15,25.0,Series A,Gaming,"NFT, Gaming & Metaverse",A web3 mobile gaming and entertainment company.,,,,,,
Hex Trust,2021-03-29,6.0,Series A,,,Hex Trust is a fully-licensed and insured provider of bank-grade custody for digital assets.,,"Borderless Capital, Cell Rising Capital, Fenbushi Capital, Genesis Block Ventures, HashKey, Henri Arslanian, Kenetic Capital, QBN Capital, Radiant Tech Ventures",,,,
Partior,2024-07-12,60.0,Series B,Infrastructure,Web3 Infrastructure & Tools,ledger-based interbank rails for real-time clearing and settlement,Peak XV Partners,"Valor Capital Group, Jump Trading, JPMorgan, Standard Chartered Bank, Temasek",https://x.com/TheBlock__/status/1811736224035487872,,,
Term Structure Labs,2023-11-30,4.25,Seed,DeFi,DeFi & CeFi,"Non-custodial fixed-income protocol that provides peer-to-peer, fixed-rate, and fixed-term borrowing and lending powered by custom zk-Trueup",Cumberland,"Hashkey Capital, LongLing Capital, MZ Web3 Fund",https://www.prnewswire.com/apac/news-releases/term-structure-secured-an-initial-funding-of-usd-4-25-million-in-a-series-seed-fundraising-round-with-cumberland-drw-leading-the-investment-302000152.html,,,4799
Galoy,2022-08-04,4.0,,,,Infrastrucutre,Hivemind Ventures,"Valor Equity Partners, Timechain, El Zonte Capital, Kingsway Capital, Trammell Venture Partners, AlphaPoint",https://twitter.com/GaloyMoney/status/1554805877617606656,,,
AKRU,2021-09-07,2.0,Seed,Web3,,Blockchain backed marketplace for creating and trading fractionalized Real Estate assets,,"Draper Goren Holm, Milwaukee Venture Partners, Queen City Angels, Wisconsin Investment Partners",,,,
Ledger,2023-03-30,109.0,,Hardware,Web3 Infrastructure & Tools,Hardware wallet,,"10T Holdings, Cap Horn, Morgan Creek Digital, Cathay Innovation, True Global Ventures, Cite Gestion SPV, Digital Finance Group, VaynerFund",https://twitter.com/CoinDesk/status/1641438684171079680,1400.0,,
Zama,2021-06-15,7.8,Seed,Privacy Infrastructure,,Advancing Homomorphic Encryption for a More Private Internet,,"Anthony Bourbon, Lunar Ventures, Metaplanet Holdings, Vsquared Ventures",,,,
Rain,2021-11-12,75.0,,Centralized Exchange,DeFi & CeFi,Rain is an operator and custodian of digital currency exchange intended to make digital transactions.,,,,,,
